City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,tolanaro,-25.0319,46.9987,25.04,94,75,4.12,MG,1707774049
131,kununurra,-15.7667,128.7333,25.99,94,40,1.54,AU,1707773901
132,pisco,-13.7,-76.2167,27.03,74,0,10.29,PE,1707774050
133,tuba city,36.135,-111.2399,9.1,30,0,1.79,US,1707774050
134,remire-montjoly,4.9167,-52.2667,24.02,100,75,1.03,GF,1707774050
135,panacan,9.2463,118.4082,24.68,86,100,7.57,PH,1707774050
136,cururupu,-1.8283,-44.8683,25.25,87,57,1.39,BR,1707774050
137,tafuna,-14.3358,-170.72,27.97,100,100,2.57,AS,1707774050
138,mar del plata,-38.0023,-57.5575,19.41,56,100,8.05,AR,1707773758
139,kayangel,8.0823,134.7173,26.86,81,100,11.44,PW,1707774051
140,sabang,5.8933,95.3214,27.87,79,0,11.67,ID,1707774051
141,cannonvale,-20.2833,148.7,25.66,77,42,4.73,AU,1707774051
142,vila franca do campo,37.7167,-25.4333,18.27,99,58,8.6,PT,1707774051
143,alaghsas,17.0187,8.0168,23.61,9,0,4.9,NE,1707774051
144,sinabang,2.4803,96.3801,26.34,81,1,0.22,ID,1707774052
145,tot'ma,59.9747,42.7642,-21.33,100,100,2.14,RU,1707774052
146,sosnovo-ozerskoye,52.5249,111.5418,-22.06,91,10,4.14,RU,1707774052
147,vila velha,-20.3297,-40.2925,27.97,87,20,5.14,BR,1707774052
148,trostyanets',50.4784,34.963,7.99,93,99,4.82,UA,1707774052
149,warmbad,-28.45,18.7333,25.52,33,0,4.65,NA,1707774052
150,mitu,1.1983,-70.1733,25.62,86,94,0.72,CO,1707774052
151,kilimatinde,-5.85,34.95,19.65,97,100,0.61,TZ,1707774052
152,kapa'a,22.0752,-159.319,26.72,53,0,3.6,US,1707774053
153,callao,-12.0667,-77.15,28.16,61,75,6.69,PE,1707774053
154,ilulissat,69.2167,-51.1,-21.99,54,100,1.03,GL,1707774053
155,tambacounda,13.7539,-13.7586,32.03,29,0,2.06,SN,1707774053
156,ingeniero jacobacci,-41.3427,-69.5448,23.98,13,3,5.22,AR,1707774053
157,brisas de zicatela,15.8369,-97.0419,29.29,70,0,3.6,MX,1707773868
158,badger,64.8,-147.5333,-3.82,78,75,0.0,US,1707774053
159,la passe,45.5549,-0.8967,9.13,86,41,1.6,FR,1707774054
160,dara,15.3484,-15.4799,29.98,8,17,2.68,SN,1707774054
161,hammerfest,70.6634,23.6821,-5.75,73,0,2.06,NO,1707774054
162,canutama,-6.5339,-64.3831,24.3,96,100,0.34,BR,1707774054
163,invercargill,-46.4,168.35,17.79,68,100,4.02,NZ,1707774054
164,richards bay,-28.783,32.0377,20.68,83,17,3.15,ZA,1707774054
165,laojunmiao,39.8333,97.7333,-4.65,48,100,1.36,CN,1707774054
166,cockburn town,21.4612,-71.1419,25.98,65,40,7.72,TC,1707774054
167,saipan,15.1355,145.701,25.39,73,40,8.75,MP,1707774055
168,waingapu,-9.6567,120.2641,26.05,87,100,2.33,ID,1707774055
169,olavarria,-36.8927,-60.3225,18.24,59,36,7.35,AR,1707774055
170,isafjordur,66.0755,-23.124,-0.82,91,99,10.12,IS,1707774055
171,lihue,21.9789,-159.3672,26.31,53,0,3.6,US,1707774055
172,havre,49.5833,0.3333,6.87,87,20,3.09,FR,1707774055
173,klyuchi,52.2667,79.1667,-14.0,89,59,4.13,RU,1707774056
174,harstad,68.799,16.5293,-3.25,58,100,13.86,NO,1707774056
175,placido de castro,-10.3353,-67.1856,23.1,98,100,0.86,BR,1707774056
176,usogorsk,63.4106,48.6872,-26.85,100,100,1.87,RU,1707774056
177,mount gambier,-37.8333,140.7667,18.31,60,74,2.43,AU,1707773852
178,howrah,22.5892,88.3103,19.0,82,40,0.0,IN,1707774057
179,tura,25.5198,90.2201,13.44,26,14,1.62,IN,1707774057
180,touros,-5.1989,-35.4608,28.01,82,9,8.84,BR,1707773867
181,dzilam gonzalez,21.2833,-88.9333,27.01,71,31,5.12,MX,1707774057
182,ghat,24.9647,10.1728,17.4,34,0,2.3,LY,1707774057
183,diffa,13.3154,12.6113,24.15,10,0,3.72,NE,1707774058
184,afaahiti,-17.75,-149.2833,26.93,94,100,14.46,PF,1707774058
185,iskateley,67.6803,53.1512,-32.77,100,65,2.24,RU,1707774058
186,cienfuegos,22.1461,-80.4356,29.08,58,20,5.66,CU,1707774058
187,sur,22.5667,59.5289,21.5,81,96,3.7,OM,1707774058
188,blenheim,-41.516,173.9528,21.4,57,44,0.45,NZ,1707774058
189,arraial do cabo,-22.9661,-42.0278,28.92,70,0,9.77,BR,1707774059
190,liwale,-9.7667,37.9333,21.69,96,100,0.69,TZ,1707774059
191,hithadhoo,-0.6,73.0833,26.42,87,100,7.72,MV,1707774059
192,kilindoni,-7.9139,39.6668,27.94,78,100,1.93,TZ,1707774059
193,nuuk,64.1835,-51.7216,-12.66,61,40,6.71,GL,1707773400
194,chonchi,-42.6128,-73.8092,16.56,47,21,1.73,CL,1707773915
195,college,64.8569,-147.8028,-3.78,78,75,0.0,US,1707774059
196,shemysheyka,52.892,45.3928,-3.33,100,100,3.46,RU,1707774060
197,upington,-28.4478,21.2561,31.21,29,62,3.6,ZA,1707774060
198,kidal,18.4411,1.4078,25.67,8,0,3.92,ML,1707774060
199,hermanus,-34.4187,19.2345,20.45,91,69,1.78,ZA,1707774060
200,san antonio de pale,-1.4014,5.6325,28.48,83,56,1.78,GQ,1707774060
201,vorgashor,67.5833,63.95,-36.7,100,32,2.04,RU,1707774060
202,sao joao do piaui,-8.3581,-42.2467,29.7,41,97,3.81,BR,1707774060
203,ghanzi,-21.5667,21.7833,24.38,41,1,3.88,BW,1707774061
204,sikasso,10.9167,-7.0,29.08,9,68,1.68,ML,1707774061
205,papatowai,-46.5619,169.4708,17.06,53,100,2.11,NZ,1707773878
206,fengcheng,40.4536,124.0717,-1.04,100,100,1.19,CN,1707774061
207,kuala terengganu,5.3302,103.1408,26.97,78,20,4.12,MY,1707774061
208,zemio,5.0314,25.1361,24.96,42,33,1.78,CF,1707774061
209,olyokminsk,60.3736,120.4264,-25.85,91,100,3.5,RU,1707774067
210,villa gesell,-37.2639,-56.973,18.36,60,100,13.66,AR,1707774067
211,dryden,49.7833,-92.7503,-5.84,63,100,3.6,CA,1707774067
212,klaksvik,62.2266,-6.589,3.51,81,100,4.18,FO,1707774067
213,miles city,46.4083,-105.8406,3.54,87,75,2.57,US,1707774068
214,aasiaat,68.7098,-52.8699,-30.51,94,99,1.79,GL,1707774068
215,trincomalee,8.5711,81.2335,26.57,82,22,6.6,LK,1707774068
216,hafar al-batin,28.4328,45.9708,13.32,76,0,3.6,SA,1707774068
217,hiratacho,35.4333,132.8167,0.01,100,0,3.09,JP,1707774068
218,nemuro,43.3236,145.575,-2.12,76,54,7.14,JP,1707773896
219,slave lake,55.2834,-114.769,0.99,44,0,6.69,CA,1707774069
220,midvagur,62.0511,-7.1939,3.46,93,100,3.6,FO,1707774069
221,gizo,-8.103,156.8419,28.47,73,56,4.76,SB,1707774069
222,stanley,54.868,-1.6985,5.95,83,40,6.69,GB,1707774069
223,preobrazheniye,42.9019,133.9064,-1.93,90,11,2.89,RU,1707774070
224,hawaiian paradise park,19.5933,-154.9731,27.16,71,0,3.6,US,1707774070
225,okap,19.7578,-72.2042,25.03,74,5,2.36,HT,1707774070
226,sitka,57.0531,-135.33,5.94,75,20,0.0,US,1707773877
227,kingston,17.997,-76.7936,30.69,66,20,9.77,JM,1707773852
228,brookings,44.3114,-96.7984,5.25,63,72,1.34,US,1707773787
229,pervomayskoye,43.919,46.7102,8.13,72,95,4.56,RU,1707774071
230,fraserburgh,57.6874,-2.0184,3.02,77,99,9.25,GB,1707774071
231,newman,37.3138,-121.0208,16.83,64,100,1.34,US,1707774071
232,betio village,1.358,172.9211,28.27,82,100,6.8,KI,1707774071
233,nova sintra,14.8667,-24.7167,20.07,82,79,6.61,CV,1707773863
234,puerto santa,-8.9906,-78.6456,22.3,92,97,5.1,PE,1707774071
235,broome,42.2506,-75.833,2.61,78,100,1.54,US,1707774072
236,cambria,35.5641,-121.0808,19.12,78,67,1.79,US,1707774072
237,sao sepe,-30.1606,-53.5653,33.01,44,71,1.92,BR,1707774072
238,benjamin constant,-4.3831,-70.0311,30.07,74,40,1.03,BR,1707774072
239,saurimo,-9.6608,20.3916,19.83,90,5,0.99,AO,1707774072
240,embu,-23.6489,-46.8522,30.75,73,88,1.27,BR,1707774073
241,puerto tirol,-27.3722,-59.0821,38.04,39,40,0.0,AR,1707774073
242,syktyvkar,61.6764,50.8099,-17.15,91,75,3.13,RU,1707773923
243,whangarei,-35.7317,174.3239,22.85,50,1,0.94,NZ,1707773834
244,murun-kuren,49.6342,100.1625,-21.01,87,18,0.7,MN,1707774073
245,lompoc,34.6391,-120.4579,19.08,63,0,6.17,US,1707773838
246,chibougamau,49.9168,-74.3659,-8.21,73,100,2.06,CA,1707773898
247,wynyard,-41.0,145.7167,18.4,41,31,1.78,AU,1707774074
248,faaborg,55.0951,10.2423,6.0,92,38,5.57,DK,1707774074
249,yung shue wan,22.2333,114.1167,17.57,80,75,0.45,HK,1707774074
250,santo antonio,-6.3106,-35.4789,27.69,68,10,5.91,BR,1707774075
251,kavalerovo,44.2661,135.0572,-9.22,93,5,1.34,RU,1707774075
252,weno,7.4515,151.8468,27.97,74,100,6.17,FM,1707774075
253,prieska,-29.6641,22.7474,29.43,26,47,5.29,ZA,1707774075
254,ismailia,30.6043,32.2723,18.51,48,100,4.97,EG,1707774075
255,mogocha,53.7333,119.7667,-20.84,90,81,2.01,RU,1707774075
256,pocao de pedras,-4.6667,-44.85,25.08,91,60,2.26,BR,1707774076
257,duong dong,10.2167,103.9667,23.0,94,0,0.0,VN,1707774076
258,geraldton,-28.7667,114.6,18.23,88,0,3.6,AU,1707773955
259,medina,24.4686,39.6142,20.24,24,0,5.66,SA,1707774076
260,huarmey,-10.0681,-78.1522,26.49,75,86,4.3,PE,1707774076
261,punta arenas,-53.15,-70.9167,13.06,58,100,10.29,CL,1707774076
262,butterworth,5.3991,100.3638,27.02,69,20,3.6,MY,1707774077
263,avarua,-21.2078,-159.775,29.03,65,75,4.12,CK,1707774077
264,kapuskasing,49.4169,-82.4331,-5.0,68,75,3.09,CA,1707774077
265,pangody,65.85,74.4859,-38.6,99,22,2.15,RU,1707774077
266,luocheng,29.3848,104.0286,11.02,67,97,0.2,CN,1707774077
267,sanford,28.8006,-81.2731,29.1,55,20,8.23,US,1707774078
268,dwarka,22.2394,68.9678,21.8,47,99,5.59,IN,1707774078
269,asmara,15.3333,38.9333,13.64,30,25,1.69,ER,1707774078
270,karatuzskoye,53.6072,92.8667,-14.79,75,100,6.71,RU,1707774078
271,malango,-2.9627,119.9001,20.38,98,100,0.46,ID,1707774079
272,mayakonda,14.2833,76.0833,20.75,50,44,3.13,IN,1707774079
273,severo-yeniseyskiy,60.3725,93.0408,-24.44,96,100,2.93,RU,1707774079
274,dunedin,-45.8742,170.5036,16.4,56,100,0.4,NZ,1707774024
275,la sarre,48.8002,-79.1996,-7.38,89,93,1.6,CA,1707774080
276,pacasmayo,-7.4006,-79.5714,26.4,72,85,6.18,PE,1707774080
277,bathsheba,13.2167,-59.5167,28.34,74,40,8.23,BB,1707774081
278,tsiombe,-25.3,45.4833,23.55,94,100,4.42,MG,1707774081
279,saint-joseph,-21.3667,55.6167,25.21,85,21,1.84,RE,1707774081
280,revda,56.801,59.9303,-11.29,82,100,2.56,RU,1707774082
281,luderitz,-26.6481,15.1594,18.12,92,1,4.84,NA,1707774082
282,shimoda,34.6667,138.95,5.06,72,27,6.51,JP,1707774083
283,wailua homesteads,22.0669,-159.378,25.97,53,0,3.6,US,1707774083
284,heihe,50.2441,127.4902,-10.31,97,100,1.99,CN,1707774084
285,boda,4.3189,17.4695,26.88,25,4,1.58,CF,1707774084
286,tosontsengel,48.7567,98.2839,-27.48,98,66,0.69,MN,1707774085
287,tual,-5.6667,132.75,28.78,76,100,5.39,ID,1707774085
288,calca,-13.3333,-71.95,20.64,81,88,3.53,PE,1707774086
289,bismarck,46.8083,-100.7837,3.91,60,0,3.09,US,1707773946
290,lorengau,-2.0226,147.2712,28.15,77,100,3.68,PG,1707774086
291,terrace,54.5163,-128.6035,-1.05,100,75,0.0,CA,1707774087
292,urumqi,43.801,87.6005,-7.47,93,100,1.0,CN,1707774087
293,port-vila,-17.7338,168.3219,25.78,94,75,0.51,VU,1707773862
294,namie,37.4833,141.0,2.49,58,0,2.52,JP,1707774088
295,novocheboksarsk,56.111,47.4776,-8.69,92,100,2.0,RU,1707774092
296,chegdomyn,51.1167,133.0167,-11.68,98,100,0.68,RU,1707774092
